date,open,high,low,close,volume,moving_average_20
2024-09-19,224.99,229.82,224.63,228.87,66781315,0.0
2024-09-18,217.55,222.71,217.54,220.69,59894928,0.0
2024-09-17,215.75,216.9,214.5,216.79,45519339,0.0
2024-09-16,216.54,217.22,213.92,216.32,59357427,0.0
2024-09-13,223.58,224.04,221.91,222.5,36766619,0.0
2024-09-12,222.5,223.55,219.82,222.77,37498225,0.0
2024-09-11,221.455,223.09,217.89,222.66,44587072,0.0
2024-09-10,218.92,221.48,216.73,220.11,51591033,0.0
2024-09-09,220.82,221.27,216.71,220.91,67179965,0.0
2024-09-06,223.95,225.24,219.77,220.82,48423011,0.0
2024-09-05,221.625,225.48,221.52,222.38,36615398,0.0
2024-09-04,221.66,221.78,217.48,220.85,43262758,0.0
2024-09-03,228.55,229.0,221.17,222.77,50190574,0.0
2024-08-30,230.19,230.4,227.48,229.0,52990770,0.0
2024-08-29,230.1,232.92,228.88,229.79,51906297,0.0
2024-08-28,227.92,229.86,225.68,226.49,38052167,0.0
2024-08-27,225.995,228.85,224.89,228.03,35934559,0.0
2024-08-26,226.76,227.28,223.8905,227.18,30602208,0.0
2024-08-23,225.6589,228.22,224.33,226.84,38677250,0.0
2024-08-22,227.79,228.34,223.9,224.53,43695321,223.51500000000001
2024-08-21,226.52,227.98,225.05,226.4,34765480,223.3915
2024-08-20,225.77,227.17,225.45,226.51,30299033,223.68249999999998
2024-08-19,225.72,225.99,223.04,225.89,40687813,224.1375
2024-08-16,223.92,226.8271,223.6501,226.05,44340240,224.62399999999997
2024-08-15,224.6,225.35,222.76,224.72,46414013,224.73499999999999
2024-08-14,220.57,223.03,219.7,221.72,41960574,224.68250000000003
2024-08-13,219.01,221.89,219.01,221.27,44155331,224.61299999999997
2024-08-12,216.07,219.5099,215.6,217.53,38028092,224.484
2024-08-09,212.1,216.78,211.97,216.24,42201646,224.25050000000002
2024-08-08,213.11,214.2,208.83,213.31,47161149,223.875
2024-08-07,206.9,213.64,206.39,209.82,63516417,223.247
2024-08-06,205.3,209.99,201.07,207.23,69660488,222.56599999999997
2024-08-05,199.09,213.5,196.0,209.27,119548589,221.89100000000002
2024-08-02,219.15,225.6,217.71,219.86,105568560,221.43400000000003
2024-08-01,224.37,224.48,217.02,218.36,62500996,220.86250000000004
2024-07-31,221.44,223.82,220.63,222.08,50036262,220.642
2024-07-30,219.19,220.325,216.12,218.8,41643840,220.1805
2024-07-29,216.96,219.3,215.75,218.24,36311778,219.7335
2024-07-26,218.7,219.49,216.01,217.96,41601345,219.2895
2024-07-25,218.93,220.85,214.62,217.49,51391199,218.9375
2024-07-24,224.0,224.8,217.13,218.54,61777576,218.54450000000003
2024-07-23,224.365,226.94,222.68,225.01,39960260,218.4695
2024-07-22,227.01,227.78,223.09,223.96,48201835,218.373
2024-07-19,224.82,226.8,223.275,224.31,49151453,218.286
2024-07-18,230.28,230.44,222.27,224.18,66034585,218.25900000000001
2024-07-17,229.45,231.4599,226.64,228.88,57345884,218.61700000000002
2024-07-16,235.0,236.27,232.33,234.82,43234278,219.29450000000003
2024-07-15,236.48,237.23,233.09,234.4,62631252,220.138
2024-07-12,228.92,232.64,228.68,230.54,53046527,220.853
2024-07-11,231.39,232.39,225.77,227.57,64710617,221.56600000000003
2024-07-10,229.3,233.08,229.25,232.98,62627687,222.724
2024-07-09,227.93,229.4,226.3721,228.68,48169822,223.7965
2024-07-08,227.09,227.85,223.25,227.82,59085861,224.724
2024-07-05,221.65,226.45,221.65,226.34,60412408,225.048
2024-07-03,220.0,221.55,219.03,221.55,37369801,225.20749999999998
2024-07-02,216.15,220.38,215.1,220.27,58046178,225.11700000000002
2024-07-01,212.09,217.51,211.92,216.75,60402929,225.01450000000006
2024-06-28,215.77,216.07,210.3,210.62,82542718,224.6335
2024-06-27,214.69,215.7395,212.35,214.1,49772707,224.4405
2024-06-26,211.5,214.86,210.64,213.25,66213186,224.2285
2024-06-25,209.15,211.38,208.61,209.07,56713868,223.75500000000002
2024-06-24,207.72,212.7,206.59,208.14,80727006,222.9115
2024-06-21,210.39,211.89,207.11,207.49,246421353,222.08799999999997
2024-06-20,213.93,214.24,208.85,209.68,86172451,221.3565
2024-06-18,217.59,218.63,213.0,214.29,79943254,220.862
2024-06-17,213.37,218.95,212.72,216.67,93728300,220.2515
2024-06-14,213.85,215.17,211.3,212.49,70122748,219.135
2024-06-13,214.74,216.75,211.6,214.24,97862729,218.127
2024-06-12,207.37,220.2,206.9,213.07,198134293,217.25349999999997
2024-06-11,193.65,207.16,193.63,207.15,172373296,216.2325
2024-06-10,196.9,197.3,192.15,193.12,97262077,214.2395
2024-06-07,194.65,196.94,194.14,196.89,53103912,212.65
2024-06-06,195.685,196.5,194.17,194.48,41181753,210.983
2024-06-05,195.4,196.9,194.87,195.87,54156785,209.45950000000002
2024-06-04,194.635,195.32,193.0342,194.35,47471445,208.09949999999998
2024-06-03,192.9,194.99,192.52,194.03,50080539,206.7875
2024-05-31,191.44,192.57,189.91,192.25,75158277,205.5625
2024-05-30,190.76,192.18,190.63,191.29,49947941,204.596
2024-05-29,189.61,192.247,189.51,190.29,53068016,203.40550000000002
2024-05-28,191.51,193.0,189.1,189.99,52280051,202.2425
2024-05-24,188.82,190.58,188.0404,189.98,36326975,201.288
2024-05-23,190.98,191.0,186.625,186.88,51005924,200.225
2024-05-22,192.265,192.8231,190.27,190.9,34648547,199.3955
2024-05-21,191.09,192.73,190.9201,192.35,42309401,198.529
2024-05-20,189.325,191.9199,189.01,191.04,44361275,197.3665
2024-05-17,189.51,190.81,189.18,189.87,41282925,196.0265
2024-05-16,190.47,191.095,189.6601,189.84,52845230,194.89399999999998
2024-05-15,187.91,190.65,187.37,189.72,70399988,193.668
2024-05-14,187.51,188.3,186.29,187.43,52393619,192.386
2024-05-13,185.435,187.1,184.62,186.28,72044809,191.3425
2024-05-10,184.9,185.09,182.13,183.05,50759496,190.839
2024-05-09,182.56,184.66,182.11,184.57,48982972,190.223
2024-05-08,182.85,183.07,181.45,182.74,45057087,189.636
2024-05-07,183.45,184.9,181.32,182.4,77305771,188.9625
2024-05-06,182.354,184.2,180.42,181.71,78569667,188.3305
2024-05-03,186.645,187.0,182.66,183.38,163224109,187.798
2024-05-02,172.51,173.415,170.89,173.03,94214915,186.837
2024-05-01,169.58,172.705,169.11,169.3,50383147,185.7375
2024-04-30,173.33,174.99,170.0,170.33,65934776,184.7395
2024-04-29,173.37,176.03,173.1,173.5,68169419,183.915
